,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
54,Audi Q5 2.0 TDI,2014,325000,110000,Diesel,Individual,Manual,First Owner
55,Hyundai Santro Xing XL eRLX Euro III,2013,60000,40000,Diesel,Individual,Manual,First Owner
56,Maruti Alto 800 LXI,2007,250000,74000,Diesel,Individual,Manual,Third Owner
57,Mahindra Quanto C6,2016,670000,15000,Diesel,Individual,Manual,First Owner
58,Skoda Laura Ambiente 2.0 TDI CR MT,2017,130000,35000,Petrol,Dealer,Manual,First Owner
59,Renault Duster 85PS Diesel RxZ,2016,685000,38500,Petrol,Dealer,Automatic,Third Owner
60,Hyundai Creta 1.6 CRDi SX Option,2005,195000,220000,Diesel,Dealer,Manual,First Owner
61,Toyota Innova 2.5 GX 8 STR BSIV,2015,211000,60000,Diesel,Individual,Manual,First Owner
62,Nissan Micra Diesel XV Premium,2012,635000,40700,Petrol,Individual,Manual,First Owner
63,Ford Figo Petrol LXI,2012,650000,11958,Diesel,Dealer,Manual,Second Owner
64,Honda City i DTEC SV,2007,800000,30000,Diesel,Individual,Manual,First Owner
65,Honda BR-V i-VTEC VX MT,2017,711000,60000,Diesel,Individual,Manual,First Owner
66,Audi A4 30 TFSI Technology,2013,1035000,135000,Diesel,Individual,Manual,First Owner
67,Maruti Eeco 5 STR With AC Plus HTR CNG,2019,175000,165000,Diesel,Individual,Manual,First Owner
68,Ford Figo Aspire 1.2 Ti-VCT Trend,2010,850000,19571,Petrol,Dealer,Manual,First Owner
69,Fiat Linea Dynamic,2007,225000,1010,Diesel,Individual,Manual,First Owner
70,Maruti Ertiga 1.5 VDI,2007,225000,35000,Petrol,Individual,Manual,First Owner
71,Maruti Swift Dzire ZXI Plus,2017,225000,70000,Diesel,Individual,Manual,First Owner
72,Hyundai i20 Asta 1.4 CRDi (Diesel),2017,350000,350000,Diesel,Individual,Manual,First Owner
73,Hyundai EON LPG Magna Plus,2006,45000,9800,Diesel,Individual,Manual,First Owner
74,Hyundai EON D Lite Plus,2007,155000,120000,Diesel,Individual,Manual,First Owner
75,Hyundai Verna 1.6 VTVT SX,2016,60000,70000,Diesel,Dealer,Manual,First Owner
76,Maruti Swift Dzire ZDI,2012,120000,60000,Diesel,Dealer,Manual,First Owner
77,Renault KWID RXL,2011,50000,40000,Petrol,Dealer,Manual,First Owner
78,Hyundai i20 Asta 1.2,2017,110000,124000,Petrol,Individual,Manual,First Owner
79,Hyundai Creta 1.6 CRDi SX,2017,100000,40000,Diesel,Individual,Manual,First Owner
80,Maruti Zen D PS,2016,1090000,5000,Diesel,Individual,Manual,First Owner
81,Mahindra XUV500 AT W8 FWD,2013,800000,40219,Diesel,Individual,Manual,First Owner
82,Hyundai Accent GLX,2020,311000,116000,Diesel,Individual,Manual,Second Owner
83,Maruti Ciaz ZDi Plus,2018,850000,90000,Petrol,Dealer,Manual,First Owner
84,Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2019,587000,82082,Petrol,Individual,Manual,Second Owner
85,Hyundai EON Era Plus,2010,125000,40000,Diesel,Individual,Manual,First Owner
86,Hyundai Creta 1.6 CRDi AT SX Plus,2010,325000,11240,Petrol,Individual,Manual,Third Owner
87,Honda BR-V i-VTEC VX MT,2007,625000,86000,Diesel,Individual,Manual,First Owner
88,Maruti Alto K10 VXI,2016,60000,40000,Diesel,Individual,Manual,First Owner
89,Skoda Superb Ambition 2.0 TDI CR AT,2016,210000,76000,Diesel,Individual,Manual,First Owner
90,Maruti Baleno Alpha 1.2,2013,120000,65000,Diesel,Individual,Manual,First Owner
91,Ford Freestyle Titanium Plus Diesel,2020,284000,10832,Petrol,Dealer,Manual,First Owner
92,Chevrolet Beat Diesel LT,2017,110000,60000,Diesel,Individual,Manual,Third Owner
93,Chevrolet Cruze LT,2010,300000,35000,Petrol,Individual,Manual,First Owner
94,Maruti Swift Dzire VXi,2007,1475000,35000,Petrol,Individual,Manual,First Owner
95,Hyundai i10 Sportz 1.2,2017,145000,20000,Diesel,Individual,Manual,First Owner
96,Tata Indigo LX,2015,110000,120000,Diesel,Individual,Manual,First Owner
97,Maruti Alto LXi,2007,260000,85000,Diesel,Individual,Manual,First Owner
98,Maruti Omni LPG CARGO BSIII W IMMOBILISER,2014,60000,75000,Petrol,Individual,Manual,First Owner
99,Volkswagen Polo Diesel Trendline 1.2L,2016,85000,24000,Diesel,Individual,Manual,First Owner
100,Maruti Eeco 5 STR With AC Plus HTR CNG,2017,170000,14000,Petrol,Individual,Manual,Second Owner
101,Maruti Alto 800 LXI,2019,95000,154000,Petrol,Individual,Manual,First Owner
102,Nissan Micra Diesel XV,2015,1700000,49824,Diesel,Individual,Manual,First Owner
103,Hyundai Verna CRDi SX,2009,900000,19014,Petrol,Individual,Manual,First Owner
104,Maruti Swift VXI BSIII,2007,160000,89000,Diesel,Trustmark Dealer,Manual,First Owner
105,Volkswagen Vento 1.5 TDI Highline Plus AT,2012,520000,110000,Petrol,Individual,Manual,Second Owner
106,Maruti Ciaz ZDi Plus,2018,390000,100000,Diesel,Individual,Manual,First Owner
107,Mahindra KUV 100 G80 K2,2007,120000,35000,Diesel,Individual,Manual,First Owner
108,Ford Figo Aspire 1.2 Ti-VCT Trend,2010,655000,60000,Diesel,Individual,Manual,First Owner
109,BMW X5 xDrive 30d xLine,2016,147000,70000,Diesel,Individual,Manual,First Owner
110,Mahindra KUV 100 mFALCON G80 K2 Plus,2006,377000,108731,Petrol,Individual,Manual,Second Owner
111,Maruti Swift Dzire VXi,2007,1475000,83000,Petrol,Individual,Manual,First Owner
112,Maruti Alto 800 LXI,2015,250000,80000,Petrol,Individual,Manual,First Owner
113,Maruti Esteem Vxi - BSIII,2016,355000,80000,Petrol,Dealer,Manual,Second Owner
114,Hyundai i20 1.2 Magna,2019,720000,72539,Diesel,Individual,Automatic,Second Owner
115,Mahindra TUV 300 Plus P4,2004,735000,64000,Diesel,Individual,Manual,Test Drive Car
116,Toyota Etios Cross 1.2L G,2007,750000,62000,Diesel,Dealer,Manual,First Owner
117,Maruti Ciaz ZDi Plus,2007,409999,30000,Diesel,Individual,Manual,Second Owner
118,Honda Jazz VX,2016,210000,70000,Diesel,Individual,Manual,First Owner
119,Mahindra TUV 300 mHAWK100 T8,2018,1165000,60000,Diesel,Individual,Manual,First Owner
120,Renault KWID 1.0 RXT Optional,2013,1050000,23839,Diesel,Individual,Manual,First Owner
121,Maruti Alto LXi,2007,50000,110000,Diesel,Individual,Manual,First Owner
122,Toyota Innova 2.5 VX (Diesel) 8 Seater,2012,585000,1100,Petrol,Dealer,Automatic,First Owner
123,Maruti Ertiga SHVS ZDI,2010,1300000,75000,Diesel,Dealer,Manual,First Owner
124,Chevrolet Enjoy TCDi LT 8 Seater,2010,421000,64441,Petrol,Dealer,Manual,First Owner
125,Renault Duster RXL AWD,2015,2675000,31063,Petrol,Dealer,Manual,Second Owner
126,Datsun GO T Petrol,2018,550000,80000,Diesel,Individual,Manual,First Owner
127,BMW X5 xDrive 30d xLine,2007,5500000,250000,Diesel,Individual,Manual,Third Owner
128,Maruti Wagon R AX,2007,95000,54206,Petrol,Individual,Manual,First Owner
129,Maruti Wagon R DUO LPG,2012,451000,35000,Petrol,Individual,Manual,First Owner
130,Maruti Swift Dzire VDI,2018,270000,70000,Petrol,Individual,Manual,First Owner
131,Maruti Alto 800 VXI,2006,130000,75000,Diesel,Individual,Automatic,Second Owner
132,Nissan Sunny XL D,2007,1300000,66521,Diesel,Individual,Manual,Second Owner
133,Tata Indigo LS,2017,370000,70000,Diesel,Individual,Manual,First Owner
134,Skoda Superb Ambition 2.0 TDI CR AT,2013,515000,87000,Petrol,Dealer,Automatic,First Owner
135,Tata Tiago 1.2 Revotron XT,2013,60000,70000,Petrol,Individual,Manual,Second Owner
136,Maruti Alto K10 VXI,2020,130000,120000,Diesel,Individual,Manual,First Owner
137,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2017,210000,35000,Petrol,Individual,Manual,Second Owner
138,Maruti Alto LXi,2009,148000,90000,Diesel,Individual,Manual,First Owner
139,Maruti Swift Ldi BSIV,2015,350000,70000,Diesel,Individual,Manual,First Owner
140,Maruti Alto K10 VXI Airbag,2014,60000,20000,Petrol,Individual,Manual,Second Owner
141,Volvo XC60 D3 Kinetic,2020,600000,25000,CNG,Individual,Manual,Second Owner
142,Maruti Wagon R LX BS IV,2017,980000,30000,Diesel,Dealer,Manual,First Owner
143,Renault Duster 110PS Diesel RxZ AWD,2020,575000,173000,Diesel,Individual,Manual,First Owner
144,Maruti 800 AC,2007,50000,138925,Petrol,Individual,Manual,First Owner
145,Mercedes-Benz E-Class E250 CDI Elegance,2019,249000,80000,Petrol,Dealer,Automatic,First Owner
146,Tata Indica Vista Quadrajet LS,2013,670000,110000,Petrol,Dealer,Manual,First Owner
147,Renault KWID RXL BSIV,2007,500000,86000,Diesel,Individual,Manual,First Owner
148,Maruti Swift VXI,2007,2600000,175000,Diesel,Individual,Manual,Second Owner
149,Maruti Alto K10 VXI AGS,2013,500000,110000,Diesel,Dealer,Manual,First Owner
150,Hyundai Xcent 1.2 Kappa S,2014,655000,120000,Petrol,Individual,Manual,First Owner
151,Mahindra Bolero Power Plus SLX,2017,60000,20000,Petrol,Individual,Manual,First Owner
152,Volkswagen Polo Petrol Comfortline 1.2L,2016,449000,66521,Diesel,Individual,Manual,First Owner
153,Toyota Fortuner 2.8 4WD AT BSIV,2007,475000,70000,Petrol,Individual,Manual,First Owner
154,Mahindra Scorpio SLE BSIV,2007,70000,107000,Petrol,Individual,Manual,First Owner
155,Mahindra Jeep CL 500 MDI,2019,79000,35000,Diesel,Individual,Automatic,First Owner
156,Skoda Superb 1.8 TFSI MT,2017,200000,26350,Diesel,Individual,Manual,First Owner
157,Maruti 800 AC BSII,2017,1800000,19890,Diesel,Individual,Manual,First Owner
158,Maruti SX4 ZXI AT,2014,560000,120000,Petrol,Individual,Manual,First Owner
159,Ford EcoSport 1.5 Petrol Titanium Plus AT BSIV,2014,300000,7104,Diesel,Individual,Automatic,Third Owner
160,Maruti Esteem Vxi - BSIII,2005,381000,56228,Electric,Individual,Automatic,Second Owner
161,Maruti Wagon R VXI,2012,409999,88500,Petrol,Individual,Manual,First Owner
162,Honda Civic 1.8 V AT,2010,350000,53652,Diesel,Dealer,Manual,First Owner
163,Mahindra KUV 100 mFALCON G80 K2 Plus,2006,450000,30375,Petrol,Individual,Manual,First Owner
164,Hyundai i20 Sportz Petrol,2018,190000,110000,Petrol,Individual,Manual,First Owner
165,Hyundai i20 Magna,2014,290000,49359,Diesel,Dealer,Manual,First Owner
166,Tata Nexon 1.5 Revotorq XM,2003,3899000,20118,Diesel,Dealer,Manual,First Owner
167,Chevrolet Beat Diesel LT,2017,75000,40000,Diesel,Individual,Manual,Third Owner
168,Honda WR-V i-DTEC VX,2011,650000,50000,Petrol,Individual,Manual,First Owner
169,Toyota Camry M/t,2012,100000,25000,Petrol,Dealer,Manual,First Owner
170,Maruti Zen D PS,2009,450000,52600,Diesel,Individual,Manual,First Owner
171,Ford Figo Petrol Titanium,2010,355000,74000,Diesel,Dealer,Manual,First Owner
172,Maruti Swift ZXI BSIV,2015,193000,100000,Petrol,Individual,Manual,Fourth & Above Owner
173,Mercedes-Benz C-Class Progressive C 220d,2010,225000,15000,Petrol,Individual,Manual,First Owner
174,Mahindra NuvoSport N8,2019,110000,62200,Diesel,Individual,Manual,First Owner
175,Honda City i-DTEC VX,2015,800000,53772,Petrol,Individual,Manual,Second Owner
176,Maruti Alto K10 VXI Airbag,2017,650000,26000,Diesel,Individual,Manual,First Owner
177,Chevrolet Spark 1.0 LT,2010,105000,80000,Diesel,Individual,Manual,First Owner
178,Chevrolet Cruze LTZ AT,2007,470000,93900,Diesel,Individual,Manual,First Owner
179,Honda WR-V i-DTEC VX,2007,530000,74183,Petrol,Individual,Manual,First Owner
180,Toyota Innova 2.5 V Diesel 8-seater,2017,380000,90000,Petrol,Dealer,Manual,First Owner
181,Ford Fiesta Titanium 1.5 TDCi,2017,550000,100000,Petrol,Individual,Manual,First Owner
182,Renault Pulse RxZ,2016,60000,35000,Diesel,Individual,Manual,First Owner
183,Renault KWID RXL,2011,155000,29654,Petrol,Individual,Manual,First Owner
184,Mahindra Scorpio 2.6 CRDe,2011,784000,250000,Diesel,Dealer,Automatic,First Owner
185,Nissan Sunny Diesel XL,2019,1044999,4400,Petrol,Individual,Automatic,Third Owner
186,Maruti Eeco 7 Seater Standard BSIV,2014,650000,30000,Petrol,Individual,Manual,First Owner
187,Toyota Innova Crysta 2.4 VX MT BSIV,2018,55000,13500,Diesel,Dealer,Manual,First Owner
188,Mahindra Bolero Power Plus Plus AC BSIV PS,2019,425000,150000,Diesel,Individual,Manual,First Owner
189,Hyundai Verna 1.6 VTVT SX,2010,60000,100000,Petrol,Dealer,Manual,Second Owner
190,Maruti Wagon R LXI,2016,60000,70000,Petrol,Individual,Manual,First Owner
191,Chevrolet Beat LT Option,2014,60000,10510,Petrol,Individual,Manual,Second Owner
192,BMW 3 Series 320d Sport Line,2017,1260000,9800,Diesel,Individual,Manual,First Owner
193,Honda BR-V i-VTEC VX MT,2013,1000000,60000,Diesel,Individual,Manual,First Owner
194,Volkswagen Polo Diesel Highline 1.2L,2020,861999,130000,Diesel,Individual,Automatic,First Owner
195,Maruti Wagon R LXI Minor,2017,2600000,50000,Petrol,Dealer,Manual,First Owner
196,Maruti S-Cross Zeta DDiS 200 SH,2007,700000,120000,Diesel,Individual,Manual,Second Owner
197,Mahindra XUV500 AT W10 FWD,2014,60000,40000,Diesel,Individual,Manual,First Owner
198,Ford Freestyle Titanium Plus Diesel BSIV,2007,625000,180000,Diesel,Dealer,Manual,First Owner
199,Hyundai Elite i20 Sportz Plus BSIV,2018,350000,5000,Petrol,Individual,Manual,First Owner
200,Mahindra XUV500 AT W6 2WD,2019,200000,49213,CNG,Dealer,Manual,First Owner
201,Honda BR-V i-VTEC VX MT,2007,280000,97000,Diesel,Dealer,Manual,Second Owner
202,Hyundai Grand i10 1.2 CRDi Sportz Option,2020,740000,9748,Diesel,Individual,Manual,First Owner
203,Mahindra Scorpio 1.99 S10,2013,240000,7104,Diesel,Individual,Automatic,First Owner
204,Hyundai Accent GLS,2018,784000,18500,Diesel,Dealer,Manual,Second Owner
205,Tata Safari Storme EX,2017,900000,110000,Diesel,Individual,Manual,First Owner
206,Hyundai i10 Magna 1.2 iTech SE,2006,1025000,36000,Diesel,Dealer,Manual,First Owner
207,Maruti Baleno Alpha 1.2,2010,819999,71000,Diesel,Individual,Manual,First Owner
208,Nissan Sunny XL D,2017,350000,40000,Diesel,Individual,Manual,First Owner
209,Tata Nexon 1.5 Revotorq XM,2014,400000,110000,Petrol,Dealer,Manual,First Owner
210,Hyundai Creta 1.6 VTVT S,2017,145000,3000,Diesel,Individual,Manual,First Owner
211,Mahindra Scorpio VLS 2.2 mHawk,2018,550000,85000,Petrol,Dealer,Manual,First Owner
212,Toyota Innova 2.5 EV Diesel MS 7 Str BSIII,2013,325000,66000,Petrol,Individual,Manual,First Owner
213,Maruti Baleno Alpha 1.3,2017,655000,87620,Diesel,Individual,Manual,First Owner
214,Honda City 1.3 EXI,2010,690000,90000,Diesel,Dealer,Manual,First Owner
215,Hyundai i20 Sportz Petrol,2015,525000,110000,Diesel,Individual,Manual,First Owner
216,Hyundai i20 Magna 1.4 CRDi,2012,359000,166000,CNG,Trustmark Dealer,Automatic,Test Drive Car
217,Chevrolet Enjoy TCDi LT 7 Seater,2018,110000,234000,Petrol,Individual,Manual,Second Owner
218,Maruti S-Cross Zeta DDiS 200 SH,2016,390000,125000,Diesel,Individual,Manual,First Owner
219,Hyundai Verna CRDi,2018,700000,109000,Petrol,Individual,Manual,First Owner
220,Tata Indica Vista Aqua 1.4 TDI,2017,270000,60000,Diesel,Individual,Manual,First Owner
221,Tata Manza Aqua Quadrajet BS IV,2013,50000,83411,Petrol,Individual,Manual,Second Owner
222,Maruti Alto Green LXi (CNG),2014,750000,106000,Petrol,Individual,Manual,Second Owner
223,Maruti Alto 800 LXI,2017,539000,65000,Diesel,Dealer,Manual,First Owner
224,Chevrolet Enjoy 1.3 TCDi LS 8,2007,70000,100000,Petrol,Individual,Manual,First Owner
225,Mahindra TUV 300 mHAWK100 T8,2011,1000000,65000,Diesel,Individual,Manual,First Owner
226,Maruti Ciaz ZDi SHVS,2007,125000,70000,Diesel,Dealer,Manual,First Owner
227,Tata Indigo CR4,2014,650000,80000,Diesel,Dealer,Manual,First Owner
228,Fiat Punto 1.3 Emotion,2006,665000,108000,CNG,Trustmark Dealer,Automatic,Second Owner
229,Chevrolet Cruze LTZ AT,2015,3100000,120000,Diesel,Individual,Manual,Second Owner
230,Tata Safari Storme EX,2011,500000,110000,Petrol,Individual,Manual,First Owner
231,Maruti Celerio VXI,2013,925000,24662,Diesel,Individual,Manual,Second Owner
232,Audi Q5 2.0 TFSI Quattro Premium Plus,2013,250000,60000,Diesel,Individual,Manual,First Owner
233,Chevrolet Aveo 1.4 LS,2008,420000,95000,Diesel,Dealer,Manual,First Owner
234,Audi A4 3.0 TDI Quattro,2016,120000,49600,Diesel,Individual,Manual,First Owner
235,Maruti Vitara Brezza LDi Option,2014,500000,72539,Diesel,Individual,Manual,First Owner
236,Maruti Baleno Sigma 1.2,2017,740000,80000,Petrol,Individual,Manual,First Owner
237,Ford Aspire Titanium Plus Diesel BSIV,2010,750000,35000,Petrol,Individual,Manual,Second Owner
238,Ford Aspire Titanium Plus BSIV,2011,830000,110000,Petrol,Individual,Automatic,Second Owner
239,Toyota Innova 2.5 VX (Diesel) 8 Seater,2019,425000,40000,Diesel,Individual,Manual,First Owner
240,Mahindra Xylo D2 BS IV,2010,138000,12586,Diesel,Individual,Manual,First Owner
241,Tata Indica Vista Quadrajet LX,2006,200000,50000,Diesel,Individual,Manual,First Owner
242,Maruti Alto LX,2008,650000,27000,Diesel,Individual,Manual,First Owner
243,Mahindra Jeep MM 540,2017,380000,100000,Petrol,Dealer,Manual,First Owner
244,Audi A6 2.8 FSI,2017,611000,70000,Diesel,Dealer,Manual,Second Owner
245,Maruti Swift Dzire VDI,2018,229999,70000,Diesel,Individual,Manual,First Owner
246,Maruti Alto K10 VXI,2017,60000,40000,Diesel,Individual,Manual,First Owner
247,OpelCorsa 1.4 GL,2013,600000,185000,Diesel,Trustmark Dealer,Manual,Fourth & Above Owner
248,Maruti Celerio VXI,2010,760000,35000,Diesel,Individual,Automatic,First Owner
249,Mahindra Xylo D4,2017,60000,60000,Diesel,Trustmark Dealer,Manual,First Owner
250,Hyundai EON D Lite,2017,160000,70000,Diesel,Individual,Manual,First Owner
251,Tata New Safari DICOR 2.2 GX 4x2 BS IV,2019,114999,28000,Diesel,Individual,Manual,First Owner
252,Maruti Alto K10 LXI,2018,110000,1000,Diesel,Dealer,Manual,First Owner
253,Chevrolet Beat LT Option,2013,385000,90000,Diesel,Individual,Manual,First Owner
254,Honda City 1.5 V MT,2007,310000,25000,Diesel,Individual,Manual,Third Owner
255,Maruti Ritz LDi,2017,229999,49359,Diesel,Individual,Manual,Third Owner
256,Toyota Etios Liva GD,2007,150000,28245,Diesel,Dealer,Manual,First Owner
257,Fiat Linea Dynamic,1997,204999,13000,Petrol,Individual,Manual,First Owner
258,Hyundai Xcent 1.2 VTVT S,2007,120000,110000,Petrol,Individual,Manual,First Owner
259,Maruti Swift 1.3 VXI ABS,2010,670000,146000,Petrol,Individual,Manual,First Owner
260,Tata Indica Vista Quadrajet VX,2017,250000,38000,Diesel,Individual,Manual,First Owner
261,Hyundai Grand i10 1.2 Kappa Sportz Option,2015,465000,25000,Diesel,Individual,Manual,Fourth & Above Owner
262,Maruti Wagon R VXI BS IV with ABS,2017,535000,1000,Diesel,Individual,Manual,First Owner
263,Tata Safari Storme EX,2013,325000,79000,Petrol,Individual,Manual,First Owner
264,Honda Amaze S i-Dtech,2017,450000,180000,Diesel,Individual,Manual,First Owner
265,Tata Indigo LX Dicor,2012,550000,20000,Diesel,Individual,Manual,Second Owner
266,Hyundai i20 Active S Petrol,2017,612000,42215,Petrol,Individual,Manual,First Owner
267,Hyundai Santro Magna AMT BSIV,2013,325000,102307,Diesel,Individual,Manual,First Owner
268,Hyundai i20 Active S Petrol,2012,570000,37000,Diesel,Individual,Manual,Fourth & Above Owner
269,Volkswagen Vento Celeste 1.5 TDI Highline AT,2015,140000,12997,Petrol,Individual,Manual,First Owner
270,Volkswagen Jetta 1.9 Highline TDI,2013,120000,5000,Diesel,Individual,Manual,First Owner
271,Fiat Palio D 1.9 EL PS,2017,599000,65000,Diesel,Individual,Manual,First Owner
272,Honda Brio V MT,2013,350000,70000,Diesel,Individual,Manual,Second Owner
273,Hyundai i10 Era,2014,60000,40000,Diesel,Dealer,Manual,First Owner
274,Tata Manza Aura Quadrajet BS IV,2017,250000,1100,Diesel,Dealer,Manual,First Owner
275,Mahindra Scorpio 1.99 S10,2011,85000,53652,Petrol,Individual,Manual,First Owner
276,Tata Manza Aura Safire BS IV,2017,300000,30000,Diesel,Individual,Manual,First Owner
277,Maruti Vitara Brezza LDi Option,2011,500000,267000,Petrol,Individual,Manual,First Owner
278,Hyundai Santro Xing GLS,2017,100000,90000,Diesel,Individual,Automatic,First Owner
279,Hyundai Accent Executive,2018,2500000,3600,Petrol,Individual,Manual,First Owner
280,Chevrolet Enjoy 1.3 TCDi LS 8,2007,110000,25000,Diesel,Individual,Manual,First Owner
281,Honda Amaze S Petrol BSIV,2013,93000,109000,Petrol,Individual,Manual,First Owner
282,Skoda Rapid 1.5 TDI AT Ambition,2007,940000,42000,Diesel,Individual,Manual,First Owner
283,Maruti Swift Dzire VDI,2011,600000,90000,Petrol,Individual,Manual,First Owner
284,Tata Tigor 1.2 Revotron XT,2018,180000,40000,Petrol,Individual,Automatic,Second Owner
285,Mahindra Thar 4X2,2017,263000,55340,Diesel,Individual,Manual,First Owner
286,Hyundai i10 Magna 1.2,2018,650000,120000,Diesel,Individual,Manual,First Owner
287,Tata Indigo Grand Petrol,2003,495000,16000,Petrol,Individual,Automatic,First Owner
288,Chevrolet Beat LT Option,2011,380000,15000,Diesel,Individual,Manual,First Owner
289,Toyota Innova 2.5 G (Diesel) 8 Seater,2016,60000,40000,Diesel,Dealer,Manual,First Owner
290,Ford Freestyle Titanium Diesel,2003,550000,80000,Petrol,Individual,Manual,Second Owner
291,Hyundai EON LPG Magna Plus,2014,60000,30000,Diesel,Individual,Manual,First Owner
292,Maruti Swift Dzire VDi,2013,311000,49359,Diesel,Individual,Manual,First Owner
293,Honda Amaze VX i-DTEC,2017,511000,80000,Petrol,Individual,Manual,Second Owner
